user,from wS/stS (S),from wOS/stS (S),Total (S),Distribution %,Compensation (S),,,
0xc7d5bbb41ec93e6f5c4b4b4ff5d1942a35933d28,"9,728",0,"9,728",0.04%,"2,090.32",,,
0x4c3492ed57046dd95f8fb94848cf1911c5736dc1,"9,527",0,"9,527",0.04%,"2,047.09",,,
0x382ef9bc93154667ba8eff6855d508f16a145072,"9,258",0,"9,258",0.03%,"1,989.24",,,
0x104f3dc171f5ce1d1501a49e664ba1fc30252dc5,"9,087",0,"9,087",0.03%,"1,952.45",,,
0xf0265e9fc020f9cac9f90a91a31185eb6312ce45,"8,917",0,"8,917",0.03%,"1,915.92",,,
0x771477af9428d232857478ebc209ba7dabc0189d,"8,733",0,"8,733",0.03%,"1,876.50",,,
0x84a0e3f4856738fe479aa4e44a81c1fb2367e2f2,"8,635",0,"8,635",0.03%,"1,855.47",,,
0xb25a0b76a82d0e1944e97e3008333c2faed66e86,"8,569",0,"8,569",0.03%,"1,841.20",,,
0xb7f4c520970128aa171e31c21f7f71264eeb3d0f,"8,448",0,"8,448",0.03%,"1,815.26",,,
0x2ee91a96625ad18b96ccf6cc08cbe5ce1c841656,"8,356",0,"8,356",0.03%,"1,795.51",,,
0xb7542735bcad39f7294f981ed0adfe887ca18225,"8,255",0,"8,255",0.03%,"1,773.75",,,
0x33cae2a52083681dce63cfc22951bdab912ff93c,"8,127",0,"8,127",0.03%,"1,746.24",,,
0xb57e7e8840a97db1e022655ee766fd9c36f6b70d,"8,061",0,"8,061",0.03%,"1,731.96",,,
0x74c79ba676a3538d96735fc2246df393e17d9d5f,"8,009",0,"8,009",0.03%,"1,720.94",,,
0xcbfe730f50311793bcd5d3219c4aee3d50506153,"7,948",0,"7,948",0.03%,"1,707.80",,,
0x5702dd68a375a688cc1998fe0216eacbcc040ccd,"7,942",0,"7,942",0.03%,"1,706.51",,,
0x638d924750d7d0403a5fcc286b4c6f6b8b8b790c,"7,877",0,"7,877",0.03%,"1,692.46",,,
0x4547f0133001991cbf7c4055a7bec5bae57331e4,"7,859",0,"7,859",0.03%,"1,688.71",,,
0xf0e8315b9ad843927c2a36195f2ce4a66d54bd94,"7,760",0,"7,760",0.03%,"1,667.35",,,
0x2e128bbaf2cf7f1523a434128d91c642c5c7efad,"7,552",0,"7,552",0.03%,"1,622.69",,,
0x1eca0444088a2128a4c76f86add50f484bb8bb98,"7,492",0,"7,492",0.03%,"1,609.84",,,
0x4be78fc4baa74b7368c7c30205d0c6bacdf2c9ff,"7,472",0,"7,472",0.03%,"1,605.47",,,
0x2a28ea1f5be7e0f2374362c0f7ee4ecf7884c5a3,"7,338",0,"7,338",0.03%,"1,576.70",,,
0xf5d00c874bf2af92459547abf9cc223809ba443d,"7,079",0,"7,079",0.03%,"1,521.03",,,
0x6c35c657163332417ca169cc8bc8a088892dcf87,"6,987",0,"6,987",0.03%,"1,501.25",,,
0xd0ac2a29db9d2b139c07991f0a1b4f5c50b08286,"6,971",0,"6,971",0.03%,"1,497.83",,,
0x739167bd88b5e200d42c8d482121c30c86e9c79a,"6,942",0,"6,942",0.03%,"1,491.56",,,
0xff18f386a5412a1404542936d8be8fbfec350ff4,"6,927",0,"6,927",0.03%,"1,488.49",,,
0x700e7d3eb1127336dc51de98a6d968d4c24167bb,"6,873",0,"6,873",0.03%,"1,476.70",,,
0xab3eb0ab57a2716ffc157e3d2c24ad0c37852a43,"6,866",0,"6,866",0.03%,"1,475.37",,,
0xe868b8c09fd2c8c3f74d54f34f7325ab1c94c71f,"6,847",0,"6,847",0.03%,"1,471.31",,,
0x213fa1d4ef939f94cc4d659ed32fbf0a3e8a4e7a,"6,846",0,"6,846",0.03%,"1,471.09",,,
0xb58485ebd831f3a86c6af4c3696d15a9e180bb60,"6,837",0,"6,837",0.03%,"1,469.12",,,
0x5a052a9928d100bb68e14ed2a8091c1a758e1bf0,"6,821",0,"6,821",0.03%,"1,465.60",,,
0xacf5a276a9dbd664f4d5738b952cbafcac58e718,"6,680",0,"6,680",0.02%,"1,435.25",,,
